Item Code,Description,Base UOM,Item Group,Item Type
012081285030,2.80MMX50MMX2.1M-3M GI FLAT BAR (S SERIES),PC,01-7,0
012081285060,2.80MMX50MMX3.1M-6M GI FLAT BAR (S SERIES),PC,01-7,0
012081455020,4.5MMX50MMX1.6M-2M GI FLAT BAR (S SERIES),PC,01-7,0
012081455030,4.5MMX50MMX2.1M-3M GI FLAT BAR (S SERIES),PC,01-7,0
012081455060,4.5MMX50MMX3.1M-6M GI FLAT BAR (S SERIES),PC,01-7,0
012081605020,6.0MMX50MMX1.6M-2M GI FLAT BAR (S SERIES),PC,01-7,0
012081605030,6.0MMX50MMX2.1M-3M GI FLAT BAR (S SERIES),PC,01-7,0
012081605060,6.0MMX50MMX3.1M-6M GI FLAT BAR (S SERIES),PC,01-7,0
012081606520,6.0MMX65MMX1.6M-2M GI FLAT BAR (S SERIES),PC,01-7,0
012081606530,6.0MMX65MMX2.1M-3M GI FLAT BAR (S SERIES),PC,01-7,0
012081606560,6.0MMX65MMX3.1M-6M GI FLAT BAR (S SERIES),PC,01-7,0
012081607520,6.0MMX75MMX1.6M-2M GI FLAT BAR (S SERIES),PC,01-7,0
012081607530,6.0MMX75MMX2.1M-3M GI FLAT BAR (S SERIES),PC,01-7,0
012081607560,6.0MMX75MMX3.1M-6M GI FLAT BAR (S SERIES),PC,01-7,0
012082285020,2.8MMX50MMX1.6M-2M (COLOUR) GI FLAT BAR(S SERIES) E.COLOUR COATED,PC,01-7,0
012082285030,2.8MMX50MMX2.1M-3M (COLOUR) GI FLAT BAR(S SERIES) E.COLOUR COATED,PC,01-7,0
012082285060,2.8MMX50MMX3.1M-6M (COLOUR) GI FLAT BAR(S SERIES) E.COLOUR COATED,PC,01-7,0
012082455020,4.5MMX50MMX1.6M-2M (COLOUR) GI FLAT BAR(S SERIES) E.COLOUR COATED,PC,01-7,0
012082455030,4.5MMX50MMX2.1M-3M (COLOUR) GI FLAT BAR(S SERIES) E.COLOUR COATED,PC,01-7,0
012082455060,4.5MMX50MMX3.1M-6M (COLOUR) GI FLAT BAR(S SERIES) E.COLOUR COATED,PC,01-7,0
012082605020,6.0MMX50MMX1.6M-2M (COLOUR) GI FLAT BAR(S SERIES) E.COLOUR COATED,PC,01-7,0
012082605030,6.0MMX50MMX2.1M-3M (COLOUR) GI FLAT BAR(S SERIES) E.COLOUR COATED,PC,01-7,0
012082605060,6.0MMX50MMX3.1M-6M (COLOUR) GI FLAT BAR(S SERIES) E.COLOUR COATED,PC,01-7,0
012082606520,6.0MMX65MMX1.6M-2M (COLOUR) GI FLAT BAR(S SERIES) E.COLOUR COATED,PC,01-7,0
012082606530,6.0MMX65MMX2.1M-3M (COLOUR) GI FLAT BAR(S SERIES) E.COLOUR COATED,PC,01-7,0
012082606560,6.0MMX65MMX3.1M-6M (COLOUR) GI FLAT BAR(S SERIES) E.COLOUR COATED,PC,01-7,0
012082607520,6.0MMX75MMX1.6M-2M (COLOUR) GI FLAT BAR(S SERIES) E.COLOUR COATED,PC,01-7,0
012082607530,6.0MMX75MMX2.1M-3M (COLOUR) GI FLAT BAR(S SERIES) E.COLOUR COATED,PC,01-7,0
012082607560,6.0MMX75MMX3.1M-6M (COLOUR) GI FLAT BAR(S SERIES) E.COLOUR COATED,PC,01-7,0
0120910001,GI WELDED CAP (S SERIES),PC,01-7,0
0120910003,GI C-CLIP (S SERIES),PC,01-7,0
0120920001,GI WELDED CAP (S SERIES) -(COLOUR) E. COLOUR COATED,PC,01-7,0
0120920003,GI C-CLIP (S SERIES) -(COLOUR) E. COLOUR COATED,PC,01-7,0
0120930001,50MMX50MMX0.8MM SQUARE POST CAP BALL FINIAL (G SERIES) PU/PE COLOUR COATED,PC,01-7,0
0120930006,50MM X 50MM X 0.8MM SQUARE POST CAP BALL FINIAL (G SERIES) G.I.,PC,01-7,0
0120930007,65MM X 65MM X 0.8MM SQUARE POST CAP BALL FINIAL (G SERIES) G.I.,PC,01-7,0
0126811410,"1-1/2"" X <1M ""A"" 2.9MM G.I. PIPE (G.I POST)",PC,01-7,0
0126811412,"1-1/2"" X 1.1M-1.2M ""A"" 2.9MM G.I. PIPE (G.I POST)",PC,01-7,0
0126811415,"1-1/2"" X 1.3M-1.5M ""A"" 2.9MM G.I. PIPE (G.I POST)",PC,01-7,0
0126811420,"1-1/2"" X 1.6M-2M ""A"" 2.9MM G.I. PIPE (G.I POST)",PC,01-7,0
0126811430,"1-1/2"" X 2.1M-3M ""A"" 2.9MM G.I. PIPE (G.I POST)",PC,01-7,0
0126812010,"2"" X <1M ""A"" 2.9MM G.I. PIPE (G.I POST)",PC,01-7,0
0126812012,"2"" X 1.1M-1.2M ""A"" 2.9MM G.I. PIPE (G.I POST)",PC,01-7,0
0126812015,"2"" X 1.3M-1.5M ""A"" 2.9MM G.I. PIPE (G.I POST)",PC,01-7,0
0126812020,"2"" X 1.6M-2M ""A"" 2.9MM G.I. PIPE (G.I POST)",PC,01-7,0
0126812030,"2"" X 2.1M-3M ""A"" 2.9MM G.I. PIPE (G.I POST)",PC,01-7,0
012691014,"1-1/2"" G.I POST CAP ACCESSORIES FOR YK VERSATILE FENCING",PC,01-7,0
012691020,"2"" G.I POST CAP VERSATILE FENCING ACCESSORIES",PC,01-7,0
012692001,G.I / S.S U-CLIP VERSATILE FENCING ACCESSORIES,PC,01-7,0
012692011,G.I C-CLIP (T2),PC,01-7,0
012692020,"2"" STAINLESS STEEL CAP",PC,01-7,0
0126931234,"5/16"" X 3-1/2"" HOT DIP G.I BOLT & NUT",PC,01-7,0
0126941234,"5/16"" X 3-1/2"" STAINLESS STEEL BOLT & NUT",PC,01-7,0
012695001,50MM X 50MM G.I WELDED CAP (T2 / S SERIES),PC,01-7,0
012695002,65MM X 65MM G.I WELDED CAP (T2 / S SERIES),PC,01-7,0
012695003,75MM X 75MM G.I WELDED CAP (T2 / S SERIES),PC,01-7,0
012696001,G.I FASTERNER SCREW (T2 / S SERIES),PC,01-7,0
012697001,"5""X5""(5MM) G.I PLATE POST (WELDING TO POST)",PC,01-7,0
012697002,"5"" X 5""(5MM) M.S. PLATES POST (WELDING TO POST)",PC,01-7,0
0127811410,"1-1/2"" X < 1M VERSATILE FENC ""A"" GI PIPE",PC,01-7,0
0127811412,"1-1/2"" X 1.1M-1.2M VERSATILE FENC ""A"" GI PIPE-COLOUR",PC,01-7,0
0127811415,"1-1/2"" X1.3M-1.5M VERSATILE FENC ""A"" GI PIPE-COLOUR",PC,01-7,0
0127811420,"1-1/2"" X1.6M-2M VERSATILE FENC ""A"" GI PIPE-COLOUR",PC,01-7,0
0127811430,"1-1/2"" X 2.1M-3M VERSATILE FENC ""A"" GI PIPE-COLOUR",PC,01-7,0
0127812010,"2"" X <1M VERSATILE FENC ""A"" GI PIPE-COLOUR",PC,01-7,0
0127812012,"2"" X 1.1M-1.2M VERSATILE FENC ""A"" GI PIPE-COLOUR",PC,01-7,0
0127812015,"2"" X 1.3M-1.5M VERSATILE FENC ""A"" GI PIPE-COLOUR",PC,01-7,0
0127812020,"2"" X 1.6M-2M VERSATILE FENC ""A"" GI PIPE-COLOUR",PC,01-7,0
0127812030,"2"" X 2.1M-3M VERSATILE FENC ""A"" GI PIPE-COLOUR",PC,01-7,0
012791014,"1-1/2"" POST CAP ACCESSORIES VERSATILE FENC COLOUR",PC,01-7,0
012791020,"2"" POST CAP ACCESSORIES VERSATILE FENC COLOUR",PC,01-7,0
012792011,G.I C-CLIP (T2) WITH EPOXY COLOUR COATED,PC,01-7,0
0127931230,"5/16"" X 3"" VERSATILE FENC GI BOLT & NUT",SET,01-7,0
012795001,50MM X 50MM G.I WELDED CAP WITH EPOXY (T2 / S SERIES),PC,01-7,0
012795002,65MM X 65MM G.I WELDED CAP WITH EPOXY (T2 / S SERIES),PC,01-7,0
012795003,75MM X 75MM G.I WELDED CAP WITH EPOXY (T2 / S SERIES),PC,01-7,0
012796001,G.I FASTERNER SCREW WITH EPOXY (T2 / S SERIES),PC,01-7,0
012797001,"5""X5""(5MM) G.I PLATE POST (WELDING TO POST)-COLOUR COATED",PC,01-7,0
01333012,Y12 X LENGTH YBL M.S. DEFORMED BAR,PC,01-3,0
013343050,R5.0MM L6.0M G250 ROUND BAR IN LENGTH,PC,01-3,0
013343060,R6.0MM L6.0M G250 ROUND BAR IN LENGTH  ,PC,01-3,0
